username,rank,score,finish_time
skywalkert,26,18,2022-07-03 02:51:11
milesian-c,27,18,2022-07-03 02:51:44
littledva,28,18,2022-07-03 02:52:04
sammochen,29,18,2022-07-03 02:52:15
liouzhou_101,30,18,2022-07-03 02:52:17
c8kbf,31,18,2022-07-03 02:52:20
cjy-e,32,18,2022-07-03 02:52:20
qui2zical-nashxma,33,18,2022-07-03 02:52:21
qqwqert007,34,18,2022-07-03 02:52:29
redpanda-w,35,18,2022-07-03 02:52:41
lucifer1006,36,18,2022-07-03 02:53:03
kpole,37,18,2022-07-03 02:53:12
axlsdtkl,38,18,2022-07-03 02:53:17
nakari1124,39,18,2022-07-03 02:53:25
leeetcodeonl9,40,18,2022-07-03 02:53:28
Marmaduke,41,18,2022-07-03 02:53:31
skqliao,42,18,2022-07-03 02:53:46
watashi,43,18,2022-07-03 02:53:53
emthrm,44,18,2022-07-03 02:54:06
OTTFF,45,18,2022-07-03 02:54:10
jika_jik,46,18,2022-07-03 02:54:12
lee0560,47,18,2022-07-03 02:54:12
ddoudle,48,18,2022-07-03 02:54:31
LarryNY,49,18,2022-07-03 02:54:42
rgb234rgb,50,18,2022-07-03 02:54:43
peehs_moorhsum,1,18,2022-07-03 02:42:28
arignote,2,18,2022-07-03 02:42:48
hank55663,3,18,2022-07-03 02:43:12
numb3r5,4,18,2022-07-03 02:43:54
tsreaper,5,18,2022-07-03 02:44:05
fjzzq2002,6,18,2022-07-03 02:44:05
kmjp,7,18,2022-07-03 02:44:10
nyu_ldf,8,18,2022-07-03 02:44:32
zcgzcgzcg,9,18,2022-07-03 02:46:17
tabr,10,18,2022-07-03 02:46:57
uwi,11,18,2022-07-03 02:47:37
lympanda,12,18,2022-07-03 02:47:38
natsugiri,13,18,2022-07-03 02:47:40
sun-man-man,14,18,2022-07-03 02:48:03
DylanSmith,15,18,2022-07-03 02:48:04
jasonvictoryan,16,18,2022-07-03 02:48:26
vibrant-mayerhct,17,18,2022-07-03 02:48:28
noob-coder-learning-python,18,18,2022-07-03 02:48:35
wjli,19,18,2022-07-03 02:48:39
kresna,20,18,2022-07-03 02:48:50
cuiaoxiang,21,18,2022-07-03 02:48:53
raincoat911,22,18,2022-07-03 02:49:16
Heltion,23,18,2022-07-03 02:49:56
pku_erutan,24,18,2022-07-03 02:50:25
penguinhacker,25,18,2022-07-03 02:50:31
knarf,101,18,2022-07-03 03:00:30
user2062fQ,102,18,2022-07-03 03:00:30
Ujimatsu_Chiya,103,18,2022-07-03 03:00:32
ralf_tianyi,104,18,2022-07-03 03:00:38
fsyun,105,18,2022-07-03 03:00:43
yuanyuan1024,106,18,2022-07-03 03:00:43
FreeMem,107,18,2022-07-03 03:00:43
jonathanirvings,108,18,2022-07-03 03:00:58
NerdyCoder,109,18,2022-07-03 03:01:05
z_zhaojun,110,18,2022-07-03 03:01:25
Time-Limit,111,18,2022-07-03 03:01:38
heLeet,112,18,2022-07-03 03:01:39
acvv_cxy,113,18,2022-07-03 03:01:40
jayxray,114,18,2022-07-03 03:01:41
TheRaven,115,18,2022-07-03 03:01:50
drrrzdk,116,18,2022-07-03 03:01:59
dkyyy,117,18,2022-07-03 03:02:02
youx,118,18,2022-07-03 03:02:04
delphih,119,18,2022-07-03 03:02:08
while-true-coding,120,18,2022-07-03 03:02:18
sharma0201,121,18,2022-07-03 03:02:20
Tlatoani,122,18,2022-07-03 03:02:20
2499370956,123,18,2022-07-03 03:02:21
jolly-driscolln3s,124,18,2022-07-03 03:02:29
zanj0,125,18,2022-07-03 03:02:34
jevancc,76,18,2022-07-03 02:58:01
sonjh02,77,18,2022-07-03 02:58:01
twitch_tv_qiqi_impact,78,18,2022-07-03 02:58:16
tonghuikang,79,18,2022-07-03 02:58:18
bonilha,80,18,2022-07-03 02:58:33
st60712,81,18,2022-07-03 02:58:34
ruralboy,82,18,2022-07-03 02:58:34
walk-alone-a,83,18,2022-07-03 02:58:38
brett1479,84,18,2022-07-03 02:58:40
jonathansculley,85,18,2022-07-03 02:58:40
limbennett,86,18,2022-07-03 02:58:43
binacslee-cn,87,18,2022-07-03 02:59:10
shawnxi,88,18,2022-07-03 02:59:14
koishi514,89,18,2022-07-03 02:59:24
qing-tong-kui-hua-hd,90,18,2022-07-03 02:59:37
huntersjm,91,18,2022-07-03 02:59:43
sheepforever,92,18,2022-07-03 02:59:53
grby,93,18,2022-07-03 02:59:53
wangdh15,94,18,2022-07-03 02:59:53
rapel,95,18,2022-07-03 02:59:55
k42ekhs,96,18,2022-07-03 03:00:05
ldqing-wu-fei-yang,97,18,2022-07-03 03:00:08
hidanom,98,18,2022-07-03 03:00:13
XingHe_XingHe,99,18,2022-07-03 03:00:22
funny-chaplyginbiw,100,18,2022-07-03 03:00:23
huangyuyang,51,18,2022-07-03 02:54:46
ydchentw,52,18,2022-07-03 02:55:01
winter_dragon,53,18,2022-07-03 02:55:02
acvv_choufeng,54,18,2022-07-03 02:55:08
rfpermen,55,18,2022-07-03 02:55:24
tiger2005,56,18,2022-07-03 02:55:29
deadRabbit,57,18,2022-07-03 02:55:33
lddlinan,58,18,2022-07-03 02:55:58
zokumyoin,59,18,2022-07-03 02:55:59
hastings2k,60,18,2022-07-03 02:56:18
SaveVMK,61,18,2022-07-03 02:56:26
tanmay_raj_29,62,18,2022-07-03 02:56:45
felixhuang07,63,18,2022-07-03 02:56:48
gooday-3,64,18,2022-07-03 02:56:53
CZSNB,65,18,2022-07-03 02:56:58
wwwwodddd,66,18,2022-07-03 02:56:59
meyi,67,18,2022-07-03 02:57:06
FromDihPout,68,18,2022-07-03 02:57:08
vipjml,69,18,2022-07-03 02:57:18
huiget-6,70,18,2022-07-03 02:57:25
priceless-visvesvarayaxhk,71,18,2022-07-03 02:57:34
agarwal_keshav,72,18,2022-07-03 02:57:42
Nervose,73,18,2022-07-03 02:57:43
tommyjiang,74,18,2022-07-03 02:57:43
shakibahmed01999,75,18,2022-07-03 02:57:55
zrts,201,18,2022-07-03 03:06:46
Kude,202,18,2022-07-03 03:06:47
silvernarcissus,203,18,2022-07-03 03:06:55
OmakaseMaster,204,18,2022-07-03 03:06:56
zoo30215,205,18,2022-07-03 03:07:00
moyan1082,206,18,2022-07-03 03:07:07
yo930039,207,18,2022-07-03 03:07:09
dan-dan-juan-juan,208,18,2022-07-03 03:07:16
9caiji,209,18,2022-07-03 03:07:19
FighterNan,210,18,2022-07-03 03:07:24
rh137,211,18,2022-07-03 03:07:29
immike,212,18,2022-07-03 03:07:29
peterrockwave,213,18,2022-07-03 03:07:30
mon3ter,214,18,2022-07-03 03:07:40
Chasey,215,18,2022-07-03 03:07:49
unruffled-blacklvh,216,18,2022-07-03 03:07:50
scut_dell,217,18,2022-07-03 03:07:56
Maristie,218,18,2022-07-03 03:07:56
ydylwj23,219,18,2022-07-03 03:08:07
Jy_Tan,220,18,2022-07-03 03:08:10
xiaoxiaobaozi,221,18,2022-07-03 03:08:11
whatjjy2521,222,18,2022-07-03 03:08:13
qiye-5,223,18,2022-07-03 03:08:13
hughstudy-n,224,18,2022-07-03 03:08:13
GoodNoodle,225,18,2022-07-03 03:08:21
cpp_template,176,18,2022-07-03 03:05:26
roeexu,177,18,2022-07-03 03:05:26
singh_deopa,178,18,2022-07-03 03:05:32
midyko,179,18,2022-07-03 03:05:34
clonemasterUwU,180,18,2022-07-03 03:05:41
shojin_pro,181,18,2022-07-03 03:05:42
flash500,182,18,2022-07-03 03:05:47
lanly,183,18,2022-07-03 03:05:51
amano-sei,184,18,2022-07-03 03:05:53
hua-man-ren-jian,185,18,2022-07-03 03:05:54
sweetpotato2,186,18,2022-07-03 03:05:57
szp14,187,18,2022-07-03 03:06:06
anhpp-i,188,18,2022-07-03 03:06:07
Satj,189,18,2022-07-03 03:06:09
Sd-Invol,190,18,2022-07-03 03:06:10
